Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7077777777777777,0.15452930728241562,0.635036496350365,0.24857142857142858,0.7270120176797714
Decision Tree,0.63,0.13667582417582416,0.7262773722627737,0.2300578034682081,0.7262817614810979
XGBoost,0.6761111111111111,0.13974151857835218,0.6313868613138686,0.22883597883597884,0.7173749401969004
Random Forest,0.6716666666666666,0.1332794830371567,0.6021897810218978,0.21825396825396826,0.7105968897998953
MLP,0.9238888888888889,0.0,0.0,0.0,0.7294688826366912
