epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.551561347075871,0.4617341458797455,0.9196428571428571,0.9238095283508301
2,0.39009597783996947,0.3115215599536896,0.9241071428571429,0.9238095283508301
3,0.2941494998477754,0.2796648442745209,0.9238095238095239,0.9208333492279053
4,0.2772622361069634,0.2683301568031311,0.9233630952380952,0.9238095283508301
5,0.2698379383200691,0.26352471113204956,0.9235119047619048,0.9238095283508301
6,0.262757861046564,0.259768009185791,0.9238095238095239,0.9238095283508301
7,0.2584878511372067,0.25584837794303894,0.9232142857142858,0.9238095283508301
8,0.2552054510939689,0.2563815414905548,0.9230654761904762,0.9238095283508301
9,0.25343260921183086,0.25289595127105713,0.9236607142857143,0.9238095283508301
10,0.25043464246250335,0.24981625378131866,0.9238095238095239,0.9238095283508301
11,0.24580287677901133,0.2477993667125702,0.9241071428571429,0.9238095283508301
12,0.2438142512525831,0.250832736492157,0.924404761904762,0.9238095283508301
13,0.242889997788838,0.24629752337932587,0.9241071428571429,0.9238095283508301
14,0.24219324787457783,0.245894655585289,0.9239583333333333,0.9238095283508301
15,0.24016809378351484,0.2452045977115631,0.9241071428571429,0.9238095283508301
16,0.2372192709218888,0.24592529237270355,0.9245535714285714,0.9238095283508301
17,0.23896746117444265,0.2466961294412613,0.9241071428571429,0.9238095283508301
18,0.23967705283846175,0.2474295049905777,0.9236607142857143,0.9238095283508301
19,0.2378514180580775,0.24497422575950623,0.9238095238095239,0.9244047403335571
20,0.2388930774870373,0.24420428276062012,0.9241071428571429,0.9238095283508301
21,0.23514311569077628,0.24425379931926727,0.9241071428571429,0.9238095283508301
22,0.23586221791449047,0.24414566159248352,0.9241071428571429,0.9238095283508301
23,0.23665263766334171,0.24425891041755676,0.9239583333333333,0.9238095283508301
24,0.23404867194947743,0.24412594735622406,0.9241071428571429,0.9238095283508301
